datetime,direction,entry,price,pip,pnl,settle_ms,result,http
2026-04-21T19:03:40.307Z,buy,4702.21,,,?,NaN,UNKNOWN,200
2026-04-21T19:10:48.495Z,buy,4710.33,,,?,NaN,UNKNOWN,200
2026-04-21T19:12:55.998Z,buy,4709.9,,,?,NaN,UNKNOWN,200
2026-04-21T20:35:16.467Z,buy,4699.18,,,?,NaN,UNKNOWN,200
2026-04-22T14:03:37.580Z,sell,4751.98,,,?,NaN,UNKNOWN,200
2026-04-22T14:12:25.702Z,sell,4751.66,,,?,NaN,UNKNOWN,200
2026-04-22T14:15:05.667Z,sell,4749.33,,,?,NaN,UNKNOWN,200
2026-04-22T14:21:09.974Z,buy,4745.43,,,?,NaN,UNKNOWN,200
2026-04-22T14:28:42.684Z,sell,4745.7,,,?,NaN,UNKNOWN,200
2026-04-22T14:47:53.790Z,sell,4734.13,,,?,NaN,UNKNOWN,200
2026-04-22T14:49:49.840Z,sell,4733.98,,,?,NaN,UNKNOWN,200
2026-04-22T15:44:53.128Z,buy,4728.22,,,?,NaN,UNKNOWN,200
2026-04-23T15:57:28.790Z,sell,4718.93,,,?,NaN,UNKNOWN,200
2026-04-23T16:16:05.099Z,buy,4722.255,,,?,NaN,UNKNOWN,200
2026-04-23T16:17:05.999Z,sell,4720.4,,,?,NaN,UNKNOWN,200
2026-04-23T16:24:20.303Z,sell,4720.98,,,?,NaN,UNKNOWN,200
2026-04-23T17:14:01.767Z,sell,4710.96,,,?,NaN,UNKNOWN,200
2026-04-23T17:30:05.880Z,buy,4715.025,,,?,NaN,UNKNOWN,200
2026-04-23T17:55:10.010Z,sell,4684.755,,,?,NaN,UNKNOWN,200
2026-04-23T18:33:17.064Z,buy,4718.48,,,?,NaN,UNKNOWN,200
2026-04-23T22:12:31.976Z,sell,4694.995,,,?,NaN,UNKNOWN,200
2026-04-23T22:14:13.657Z,sell,4694.995,,,?,NaN,UNKNOWN,200
2026-04-23T22:25:04.709Z,buy,4697.705,,,?,NaN,UNKNOWN,200
2026-04-23T22:32:40.718Z,sell,4692.83,,,?,NaN,UNKNOWN,200
2026-04-23T22:43:15.671Z,buy,4692.7,,,?,NaN,UNKNOWN,200
2026-04-23T22:56:01.109Z,buy,4691.18,,,?,NaN,UNKNOWN,200
2026-04-23T23:11:31.528Z,buy,4690.65,,,?,NaN,UNKNOWN,200
2026-04-23T23:34:43.431Z,sell,4693.555,,,?,NaN,UNKNOWN,200
2026-04-23T23:47:19.808Z,buy,4697.69,,,?,NaN,UNKNOWN,200
2026-04-23T23:49:18.886Z,sell,4696.435,,,?,NaN,UNKNOWN,200
2026-04-23T23:54:18.536Z,sell,4695.545,,,?,NaN,UNKNOWN,200
2026-04-24T00:04:23.145Z,buy,4697.815,,,?,NaN,UNKNOWN,200
2026-04-24T00:10:27.656Z,buy,4696.32,,,?,NaN,UNKNOWN,200
2026-04-24T00:21:31.076Z,sell,4695.91,,,?,NaN,UNKNOWN,200
2026-04-24T01:15:06.880Z,sell,4708.23,,,?,NaN,UNKNOWN,200
2026-04-24T01:40:25.977Z,sell,4694.94,,,?,NaN,UNKNOWN,200
2026-04-24T01:47:37.386Z,buy,4695.635,,,?,NaN,UNKNOWN,200
2026-04-24T01:49:19.555Z,buy,4695.635,,,?,NaN,UNKNOWN,200
2026-04-24T02:15:41.269Z,sell,4692.115,,,?,NaN,UNKNOWN,200
2026-04-24T02:20:38.161Z,buy,4692.12,,,?,NaN,UNKNOWN,200
2026-04-24T02:39:11.592Z,sell,4683.77,,,?,NaN,UNKNOWN,200
2026-04-24T02:55:12.802Z,buy,4676.27,,,?,NaN,UNKNOWN,200
2026-04-24T03:32:16.811Z,sell,4670.315,,,?,NaN,UNKNOWN,200
2026-04-24T03:34:59.135Z,sell,4673.29,,,?,NaN,UNKNOWN,200
2026-04-24T03:47:58.267Z,sell,4673.29,,,?,NaN,UNKNOWN,200
2026-04-24T03:54:39.826Z,sell,4673.29,,,?,NaN,UNKNOWN,200
2026-04-24T05:29:17.041Z,sell,4673.99,,,?,NaN,UNKNOWN,200
2026-04-24T05:32:29.317Z,sell,4679.44,,,?,NaN,UNKNOWN,200
2026-04-24T05:38:12.418Z,buy,4683.64,,,?,NaN,UNKNOWN,200
2026-04-24T05:59:22.067Z,sell,4685.73,,,?,NaN,UNKNOWN,200
2026-04-24T06:38:17.178Z,sell,4672.15,,,?,NaN,UNKNOWN,200
2026-04-24T06:40:20.359Z,sell,4672.21,,,?,NaN,UNKNOWN,200
2026-04-24T17:15:56.438Z,sell,4726.465,,,?,NaN,UNKNOWN,200
2026-04-24T17:32:00.842Z,buy,4723.565,,,?,NaN,UNKNOWN,200
2026-04-24T17:42:49.487Z,sell,4721.635,,,?,NaN,UNKNOWN,200
2026-04-24T18:11:15.384Z,sell,4721.49,,,?,NaN,UNKNOWN,200
2026-04-24T18:34:33.675Z,buy,4721.29,,,?,NaN,UNKNOWN,200
2026-04-24T18:52:25.479Z,sell,4718.1,,,?,NaN,UNKNOWN,200
