side,open_t,entry,exit,delta_pt,peak_pt,pnl_usd,exit_reason
SELL,2026-02-11 01:48,5046.6,5045.83,0.7700000000004366,1.550000000000182,23.100000000013097,trail
SELL,2026-02-11 01:55,5040.87,5039.84,1.0299999999997453,1.5999999999994543,30.89999999999236,trail
BUY,2026-02-11 03:38,5040.8,5041.44,0.6399999999994179,1.9600000000000364,19.199999999982538,trail
SELL,2026-02-11 05:14,5050.95,5050.08,0.8699999999998909,1.5,26.099999999996726,trail
BUY,2026-02-11 07:10,5047.31,5048.02,0.7100000000000364,1.2100000000000364,21.30000000000109,trail
SELL,2026-02-11 08:02,5052.24,5051.52,0.7199999999993452,1.519999999999527,21.599999999980355,trail
BUY,2026-02-11 09:52,5053.91,5054.9,0.9899999999997817,1.699999999999818,29.69999999999345,trail
SELL,2026-02-11 11:20,5054.35,5053.48,0.8700000000008004,1.3700000000008004,26.10000000002401,trail
BUY,2026-02-11 13:07,5091.08,5091.68,0.6000000000003638,1.1900000000005093,18.000000000010914,trail
BUY,2026-02-11 13:37,5104.82,5107.29,2.4700000000002547,3.5,74.10000000000764,trail
BUY,2026-02-11 14:50,5071.06,5072.23,1.1699999999991633,1.7100000000000364,35.0999999999749,trail
BUY,2026-02-11 19:54,5089.48,5090.66,1.180000000000291,1.7400000000006912,35.40000000000873,trail
BUY,2026-02-11 20:46,5082.34,5084.22,1.8800000000001091,2.380000000000109,56.400000000003274,trail
BUY,2026-02-11 21:41,5084.01,5085.86,1.8499999999994543,2.9399999999996,55.49999999998363,trail
BUY,2026-02-12 03:20,5058.4,5060.06,1.660000000000764,2.180000000000291,49.80000000002292,trail
SELL,2026-02-12 05:17,5068.64,5067.05,1.5900000000001455,2.3100000000004,47.700000000004366,trail
BUY,2026-02-12 09:04,5057.33,5059.2,1.8699999999998909,2.4099999999998545,56.099999999996726,trail
BUY,2026-02-12 09:29,5061.98,5063.38,1.4000000000005457,1.9400000000005093,42.00000000001637,trail
BUY,2026-02-12 10:34,5057.29,5059.86,2.569999999999709,3.2100000000000364,77.09999999999127,trail
SELL,2026-02-12 11:27,5074.24,5072.37,1.8699999999998909,2.4200000000000728,56.099999999996726,trail
BUY,2026-02-12 11:43,5072.49,5073.52,1.0300000000006548,1.5300000000006548,30.900000000019645,trail
BUY,2026-02-12 19:11,4955.31,4955.96,0.6499999999996362,2.009999999999309,19.499999999989086,trail
SELL,2026-02-12 19:42,4965.58,4964.93,0.6499999999996362,1.2600000000002183,19.499999999989086,trail
BUY,2026-02-12 20:01,4934.66,4935.28,0.6199999999998909,1.2100000000000364,18.599999999996726,trail
SELL,2026-04-29 12:38,4567.35,4565.86,1.4900000000006912,2.0,44.70000000002074,trail
BUY,2026-04-29 13:09,4563.02,4564.94,1.9199999999991633,2.519999999999527,57.5999999999749,trail
BUY,2026-04-29 14:12,4568.45,4569.31,0.8600000000005821,1.5100000000002183,25.800000000017462,trail
BUY,2026-04-29 18:39,4548.83,4549.36,0.5299999999997453,1.0299999999997453,15.89999999999236,trail
SELL,2026-04-29 20:52,4546.61,4543.74,2.869999999999891,3.4099999999998545,86.09999999999673,trail
BUY,2026-04-29 23:37,4544.71,4545.21,0.5,1.0399999999999636,15.0,trail
BUY,2026-04-30 01:10,4546.36,4547.42,1.0600000000004002,2.4200000000000728,31.800000000012005,trail
BUY,2026-04-30 01:49,4551.48,4552.23,0.75,1.2900000000008731,22.5,trail
BUY,2026-04-30 10:48,4597.87,4599.61,1.7399999999997817,2.319999999999709,52.19999999999345,trail
BUY,2026-04-30 15:46,4628.73,4629.36,0.6300000000001091,1.6000000000003638,18.900000000003274,trail
BUY,2026-04-30 23:55,4621.28,4628.96,7.680000000000291,0.6500000000005457,230.40000000000873,timeout
SELL,2026-05-01 05:20,4633.82,4631.29,2.5299999999997453,3.0799999999999272,75.89999999999236,trail
SELL,2026-05-01 10:01,4595.41,4593.49,1.9200000000000728,2.4399999999996,57.60000000000218,trail
BUY,2026-05-01 10:24,4590.22,4590.8,0.5799999999999272,1.0799999999999272,17.399999999997817,trail
BUY,2026-05-01 12:18,4567.08,4568.3,1.2200000000002547,1.75,36.60000000000764,trail
SELL,2026-05-01 13:35,4571.04,4570.29,0.75,1.3800000000001091,22.5,trail
SELL,2026-05-01 14:27,4574.02,4572.7,1.3200000000006185,1.8200000000006185,39.600000000018554,trail
BUY,2026-05-01 22:38,4616.42,4617.31,0.8900000000003274,2.4899999999997817,26.700000000009823,trail
SELL,2026-05-04 05:57,4609.19,4608.15,1.0399999999999636,1.569999999999709,31.19999999999891,trail
BUY,2026-05-04 06:28,4609.98,4610.61,0.6300000000001091,1.1900000000005093,18.900000000003274,trail
BUY,2026-05-04 06:57,4612.61,4615.71,3.100000000000364,3.6500000000005457,93.00000000001091,trail
SELL,2026-05-04 10:52,4586.98,4582.77,4.209999999999127,4.819999999999709,126.2999999999738,trail
SELL,2026-05-04 17:42,4579.46,4578.74,0.7200000000002547,1.300000000000182,21.60000000000764,trail
BUY,2026-05-05 08:21,4536.74,4537.7,0.9600000000000364,1.5300000000006548,28.80000000000109,trail
BUY,2026-05-05 08:50,4547.98,4545.98,-2.0,0.8300000000008367,-60.0,SL
BUY,2026-05-05 12:42,4554.81,4555.82,1.0099999999993088,1.5799999999999272,30.299999999979264,trail
SELL,2026-05-05 13:49,4545.15,4543.41,1.7399999999997817,2.4099999999998545,52.19999999999345,trail
BUY,2026-05-05 18:29,4576.77,4578.03,1.2599999999993088,1.889999999999418,37.79999999997926,trail
BUY,2026-05-06 05:13,4632.39,4633.84,1.449999999999818,1.9899999999997817,43.49999999999454,trail
SELL,2026-05-06 05:19,4635.75,4635.19,0.5600000000004002,1.1300000000001091,16.800000000012005,trail
BUY,2026-05-06 05:32,4629.05,4631.53,2.4799999999995634,3.0299999999997453,74.3999999999869,trail
SELL,2026-05-06 06:42,4647.55,4646.12,1.430000000000291,1.9899999999997817,42.90000000000873,trail
SELL,2026-05-06 09:04,4660.5,4658.16,2.3400000000001455,2.8400000000001455,70.20000000000437,trail
BUY,2026-05-06 12:32,4696.75,4697.7,0.9499999999998181,1.4600000000000364,28.499999999994543,trail
SELL,2026-05-06 15:54,4680.45,4677.9,2.550000000000182,3.1099999999996726,76.50000000000546,trail
BUY,2026-05-06 17:40,4708.48,4708.99,0.5100000000002183,1.110000000000582,15.300000000006548,trail
BUY,2026-05-06 20:04,4684.34,4685.43,1.0900000000001455,1.6300000000001091,32.700000000004366,trail
BUY,2026-05-06 22:32,4698.18,4696.18,-2.0,0.7399999999997817,-60.0,SL
SELL,2026-05-06 22:41,4696.45,4695.88,0.569999999999709,1.069999999999709,17.09999999999127,trail
SELL,2026-05-07 01:03,4692.8,4690.81,1.9899999999997817,2.5200000000004366,59.69999999999345,trail
SELL,2026-05-07 04:43,4713.57,4712.03,1.5399999999999636,2.0799999999999272,46.19999999999891,trail
SELL,2026-05-07 09:48,4741.31,4739.1,2.2100000000000364,3.0200000000004366,66.30000000000109,trail
SELL,2026-05-07 11:08,4748.98,4747.7,1.2799999999997453,1.8999999999996362,38.39999999999236,trail
