ticket,entry_time,close_time,dir,entry_price,actual_pnl,mfe_dollars,mae_dollars,after_max_fav_120s,confirm_at_058,confirm_at_045,confirm_at_030,confirm_at_020,sim_main_pnl_058,sim_main_pnl_045,sim_main_pnl_030,sim_main_pnl_020,sim_reason_045,tick_count
50452433,2026-04-29T11:48:05,2026-04-29T12:27:33,sell,4559.52,0.7,0.0,11.09,0.0,0,0,0,0,,,,,didnt_cross,9
50453277,2026-04-29T11:51:06,2026-04-29T12:27:37,sell,4554.06,0.77,0.0,16.61,0.0,0,0,0,0,,,,,didnt_cross,24
50453650,2026-04-29T11:54:59,2026-04-29T12:27:40,buy,4555.46,-0.68,15.05,0.0,14.99,1,1,1,1,8.4,8.4,8.4,8.4,trail (peak $10.80),36
50454414,2026-04-29T12:01:06,2026-04-29T12:27:43,buy,4557.59,0.92,12.92,0.0,12.14,1,1,1,1,8.4,8.4,8.4,8.4,trail (peak $10.80),46
50454979,2026-04-29T12:04:02,2026-04-29T12:27:46,buy,4563.16,-0.62,7.35,0.0,6.52,1,1,1,1,8.4,8.4,8.4,8.4,trail (peak $10.80),61
50455807,2026-04-29T12:14:12,2026-04-29T12:27:49,buy,4567.63,0.76,2.88,0.0,2.05,1,1,1,1,8.4,8.4,8.4,8.4,trail (peak $10.80),79
50456247,2026-04-29T12:16:19,2026-04-29T12:27:52,buy,4572.88,-0.28,0.0,3.89,0.0,0,0,0,0,,,,,didnt_cross,91
50456690,2026-04-29T12:21:01,2026-04-29T12:27:55,sell,4570.02,1.1,0.85,0.67,3.85,1,1,1,1,8.8,8.8,10.4,10.4,trail (peak $12.40),101
50457100,2026-04-29T12:25:06,2026-04-29T12:27:58,buy,4571.77,-0.19,0.0,2.78,0.0,0,0,0,0,,,,,didnt_cross,107
50457348,2026-04-29T12:29:00,2026-04-29T12:29:49,sell,4571.35,-0.67,5.18,0.0,6.5,1,1,1,1,43.6,43.6,43.6,43.6,trail (peak $49.60),212
