
S1 — ER gate (baseline exit), aligned oracle
  gate            n   WR%    TOTAL      EV    1stH    2ndH
  ER>=0.0       742    68%     -497   -0.67    -236    -261
  ER>=0.2       370    67%     -305   -0.82    -160    -146
  ER>=0.3       196    69%     -165   -0.84     -85     -80
  ER>=0.4        70    73%      -57   -0.82     -21     -36
  ER>=0.5        16    69%      -28   -1.76     -22      -6

S3 — ER gate (baseline exit), aligned oracle
  gate            n   WR%    TOTAL      EV    1stH    2ndH
  ER>=0.0       580    70%     -126   -0.22     +39    -166
  ER>=0.2       320    72%      -50   -0.16     +19     -68
  ER>=0.3       161    74%       -6   -0.04     -10      +4
  ER>=0.4        60    67%      -44   -0.73     -30     -14
  ER>=0.5        14    57%      -15   -1.10      -7      -8
