ticks days=19  breakout trades=2627

Of trades RED at T seconds:  (recovery = ever green again after T)
   T(s)   redN  recover% recover>=$0.3%  avgHeldPnL  avgDeeper
      5   1868       87%            81%       -0.61      -4.26
     10   1777       85%            79%       -0.69      -4.38
     15   1694       83%            77%       -0.77      -4.47
     20   1674       82%            76%       -0.86      -4.52
     30   1644       79%            74%       -1.09      -4.65
     45   1618       76%            71%       -1.31      -4.80
     60   1643       75%            69%       -1.50      -4.92
     90   1576       69%            64%       -1.65      -5.04
    120   1548       65%            60%       -1.81      -5.09
    180   1491       57%            52%       -2.24      -5.34
    300   1465       45%            40%       -2.84      -5.48
